timestamp_ms,sample_number,imu,ax,ay,az,gx,gy,gz,temp
149094,74,0x6A,-3.573681,-7.325626,6.064610,-0.235030,-0.324064,-0.450208,18.88
149094,74,0x6B,1.420140,-2.013560,8.886944,1.083980,0.284969,-0.397826,21.07
149097,75,0x6A,-3.692126,-7.562516,5.795416,-0.264352,-0.345139,-0.483194,18.88
149097,75,0x6B,1.526621,-2.169094,8.934800,1.125825,0.306807,-0.450055,21.07
149099,76,0x6A,-3.821338,-7.941778,5.545367,-0.326355,-0.365756,-0.514807,18.88
149099,76,0x6B,1.588834,-2.091327,9.024531,1.187827,0.345750,-0.504422,21.07
149102,77,0x6A,-4.001996,-8.208578,5.302495,-0.396452,-0.388052,-0.533743,18.88
149102,77,0x6B,1.570888,-1.902294,9.256635,1.253495,0.400269,-0.549473,21.07
149218,78,0x6A,0.388834,-14.428720,16.557137,-0.796110,-1.976454,2.083661,18.89
149218,78,0x6B,0.891326,-2.788835,23.976084,-0.492357,-0.683864,-3.001333,21.03
149221,79,0x6A,0.282353,-15.139389,16.992630,-0.866360,-1.904372,2.036777,18.89
149221,79,0x6B,0.765703,-2.486143,24.057440,-0.496175,-0.755335,-3.086091,21.03
149223,80,0x6A,-0.394816,-15.906288,17.440088,-0.680962,-1.922851,2.063350,18.89
149223,80,0x6B,0.958325,-1.951347,23.844477,-0.505033,-0.837649,-3.161991,21.03
149226,81,0x6A,-0.354138,-15.144175,17.673388,-0.519541,-1.920102,2.105194,18.89
149226,81,0x6B,1.099502,-1.683351,23.609982,-0.521221,-0.890031,-3.226896,21.09
149228,82,0x6A,-0.187837,-15.343976,17.785851,-0.507171,-1.823127,2.118939,18.89
149228,82,0x6B,1.179662,-1.543371,23.464020,-0.531758,-0.950048,-3.293175,21.09
149231,83,0x6A,-0.113659,-15.768702,17.998812,-0.484111,-1.798082,2.159103,18.89
149231,83,0x6B,1.463211,-1.067199,23.021345,-0.512821,-1.002277,-3.352886,21.09
149233,84,0x6A,0.002393,-15.951752,18.405592,-0.407905,-1.807245,2.209347,18.89
149233,84,0x6B,1.066003,-0.932004,22.930418,-0.550084,-1.023352,-3.405726,21.09
149236,85,0x6A,0.288335,-15.933806,19.030119,-0.355218,-1.783116,2.262645,18.91
149236,85,0x6B,1.104288,-0.455833,22.496122,-0.552833,-1.076039,-3.481474,21.09
149238,86,0x6A,0.162712,-16.048662,19.701305,-0.301767,-1.731192,2.300977,18.91
149238,86,0x6B,1.359123,-0.460618,22.027128,-0.630871,-1.100779,-3.533703,21.09
149241,87,0x6A,-0.007178,-16.347765,20.222942,-0.201433,-1.686446,2.346333,18.91
149241,87,0x6B,1.359123,-0.101695,21.879971,-0.638201,-1.089020,-3.583030,21.09
149243,88,0x6A,0.180658,-16.470995,20.900110,-0.083994,-1.631163,2.397493,18.91
149243,88,0x6B,1.501496,0.202194,21.761528,-0.626442,-1.082148,-3.613421,21.10
149246,89,0x6A,0.532403,-16.890936,21.272194,0.009010,-1.552209,2.453540,18.91
149246,89,0x6B,1.381855,0.780060,21.778275,-0.601091,-1.092380,-3.628540,21.10
149248,90,0x6A,0.516850,-17.240288,21.524637,0.144775,-1.367880,2.564870,18.91
149248,90,0x6B,1.188036,1.283749,21.726830,-0.577573,-1.118189,-3.629150,21.10
149251,91,0x6A,0.307478,-17.322840,21.523439,0.273057,-1.240667,2.662151,18.91
149251,91,0x6B,1.278964,1.794617,21.560530,-0.568563,-1.146900,-3.606854,21.10
149253,92,0x6A,0.589831,-17.029718,21.370298,0.419054,-1.123381,2.771801,18.89
149253,92,0x6B,1.287339,2.230111,21.328426,-0.554818,-1.180192,-3.563635,21.10
149256,93,0x6A,0.959522,-16.426729,20.961124,0.514654,-0.994947,2.862056,18.89
149256,93,0x6B,0.995414,2.428715,21.437300,-0.542296,-1.218829,-3.497814,21.10
149258,94,0x6A,0.812363,-15.744774,20.560329,0.566577,-0.886213,2.932917,18.89
149258,94,0x6B,0.965504,2.725425,20.970697,-0.506102,-1.290147,-3.422831,21.10
149261,95,0x6A,0.795614,-14.977873,20.236101,0.575740,-0.792903,3.008970,18.89
149261,95,0x6B,1.101895,2.790031,20.624933,-0.473573,-1.357953,-3.282790,21.10
