timestamp_ms,sample_number,imu,ax,ay,az,gx,gy,gz,temp
10695,26,0x6B,-5.696114,3.601198,2.595016,-0.467770,1.007011,1.118036,23.27
10745,27,0x6A,-5.595616,-5.144568,0.628116,-0.732886,-0.286038,-0.377362,22.99
10745,27,0x6B,-5.839684,3.142973,1.548156,-0.769232,0.207389,0.313832,23.23
10795,28,0x6A,-5.752346,-3.975675,0.732204,-1.293507,0.603077,0.106901,23.03
10795,28,0x6B,-6.166304,3.451647,1.506282,-1.424843,-0.866512,-0.219301,23.22
10845,29,0x6A,-5.986843,-4.433900,-3.117848,-1.676825,1.638341,0.227089,23.00
10845,29,0x6B,-6.299106,3.967300,3.280560,-1.651780,-1.602147,-0.246790,23.23
10895,30,0x6A,-7.983653,-4.898108,-8.134401,-1.015411,1.731803,0.080023,22.97
10895,30,0x6B,-8.598608,4.984250,8.344969,-0.846659,-1.726916,-0.076969,23.25
10945,31,0x6A,-9.878769,-5.801398,-12.340983,0.058796,1.458288,0.022449,23.00
10945,31,0x6B,-10.503295,5.295316,11.063216,0.212581,-1.326952,-0.058185,23.26
10995,32,0x6A,-9.558130,-5.278566,-11.308480,0.968221,-0.358272,0.398131,23.00
10995,32,0x6B,-9.540184,3.649055,8.427522,0.941649,0.297644,-0.386372,23.25
11045,33,0x6A,-9.556933,-3.932604,-5.426922,1.281290,-0.834595,0.904844,22.98
11045,33,0x6B,-9.747163,2.300699,5.739185,1.252426,0.856128,-0.898735,23.21
11095,34,0x6A,-7.914261,-3.574877,-4.719843,0.459371,-1.077108,1.685377,22.99
11095,34,0x6B,-7.980063,1.695315,3.718446,0.237627,1.212262,-1.829694,23.23
11145,35,0x6A,-6.241678,0.173480,-0.189033,-0.240986,-1.092380,2.375502,23.04
11145,35,0x6B,-6.951150,-0.384048,2.111666,-0.280998,1.118800,-2.370463,23.26
11195,36,0x6A,-5.611169,2.556731,0.198604,-0.536798,-0.001222,2.076178,23.04
11195,36,0x6B,-6.008378,-1.258625,1.417747,-0.548862,0.013744,-2.059379,23.23
11245,37,0x6A,-5.234299,3.523431,-2.283949,-0.392481,0.438143,1.276250,22.98
11245,37,0x6B,-6.088538,-0.794417,4.939982,-0.168293,-0.589332,-0.953408,23.26
11295,38,0x6A,-7.686943,1.052842,-7.158129,1.251357,2.025629,-0.445779,23.03
11295,38,0x6B,-8.383254,1.171287,9.298509,1.105972,-1.807856,0.490983,23.25
11345,39,0x6A,-7.805387,-1.339981,-12.447463,1.675298,1.325425,-1.720502,22.97
11345,39,0x6B,-8.108080,2.086541,9.901500,1.675298,-1.220662,1.754710,23.28
11395,40,0x6A,-6.303891,-1.977668,-9.578468,1.438435,0.121868,-2.087174,22.98
11395,40,0x6B,-6.604190,0.997807,8.289934,1.413848,0.027184,1.961946,23.23
11445,41,0x6A,-6.433104,-3.633501,-7.730014,0.975399,-0.562912,-1.466535,22.98
11445,41,0x6B,-6.685547,2.165505,7.148558,1.012204,0.485943,1.499216,23.24
11495,42,0x6A,-7.761120,-3.517449,-2.627319,0.635758,-0.667218,-1.023047,23.03
11495,42,0x6B,-8.079366,2.481357,4.991428,0.644157,0.691499,0.962113,23.23
11545,43,0x6A,-7.129415,-2.804389,-3.085545,0.128282,0.252745,-0.957073,23.05
11545,43,0x6B,-7.393822,2.305485,4.223332,0.082620,-0.345444,0.933708,23.23
11595,44,0x6A,-7.103094,-3.469593,-4.567898,-0.542143,0.986089,-0.976315,23.03
11595,44,0x6B,-7.428517,3.020939,5.978468,-0.491288,-0.987769,0.948979,23.27
11645,45,0x6A,-6.994221,-5.014160,-7.884351,-0.449902,1.421483,-0.902248,23.00
11645,45,0x6B,-7.336394,4.520042,7.816155,-0.420581,-1.441795,0.868650,23.26
11695,46,0x6A,-6.061019,-5.776274,-10.253245,-0.468228,0.742659,-0.717461,22.99
11695,46,0x6B,-6.349354,4.207779,9.190832,-0.450208,-0.616668,0.609491,23.21
11745,47,0x6A,-5.398208,-3.638287,-8.457432,-0.777631,0.187536,-0.242514,23.01
11745,47,0x6B,-5.432904,2.182254,8.005188,-0.782213,-0.194561,0.219453,23.24
11795,48,0x6A,-4.102495,-2.800799,-7.539784,-0.926072,0.650571,0.233656,22.97
11795,48,0x6B,-4.249653,1.479961,9.448061,-0.962571,-0.681267,-0.267712,23.26
11845,49,0x6A,-3.500700,-4.465007,-11.592030,-1.738981,-0.572075,1.191187,22.95
11845,49,0x6B,-5.282156,3.991228,9.265010,-1.946675,0.995558,-1.199587,23.25
11895,50,0x6A,-4.947161,-3.495914,-5.432904,-1.433701,0.090103,0.839023,22.99
11895,50,0x6B,-5.063213,4.010371,6.888937,-1.462870,0.061545,-0.912175,23.21
11945,51,0x6A,-4.820341,-3.232704,-6.544370,-1.074359,0.322079,0.682795,22.99
11945,51,0x6B,-4.914857,3.607180,7.024131,-1.050077,-0.315970,-0.659582,23.27
11995,52,0x6A,-5.069195,-2.220540,-6.337390,-0.704938,0.533743,0.248622,22.95
11995,52,0x6B,-5.297709,2.431108,7.020542,-0.662636,-0.626137,-0.133779,23.24
12045,53,0x6A,-4.737789,-1.587638,-7.618747,-0.514196,0.592539,-0.167530,22.98
12045,53,0x6B,-4.899304,1.716850,7.257431,-0.504727,-0.618501,0.125380,23.21
12095,54,0x6A,-4.949553,-1.148555,-7.683353,-0.292757,0.355524,-0.350637,22.98
12095,54,0x6B,-5.052445,0.990629,7.773085,-0.301004,-0.377362,0.320704,23.23
12145,55,0x6A,-4.983053,-1.174876,-8.041081,-0.100182,0.409585,-0.507324,22.99
12145,55,0x6B,-5.094319,0.900898,8.298308,-0.057727,-0.429744,0.500604,23.23
12195,56,0x6A,-4.788038,-1.195215,-8.601001,0.039859,0.258091,-0.503353,22.99
12195,56,0x6B,-4.890929,0.567099,8.930015,0.042150,-0.273209,0.486860,23.24
12245,57,0x6A,-4.499703,-1.618744,-8.258827,0.091324,0.395688,-0.413250,23.00
